Word                          Rank           Frequency      Rank*Frequency      
--------------------------------------------------------------------------------
di                            1              4119           4119                
e                             2              2537           5074                
il                            3              1988           5964                
la                            4              1925           7700                
in                            5              1561           7805                
a                             6              1297           7782                
del                           7              1139           7973                
he                            8              1109           8872                
i                             9              1014           9126                
della                         10             932            9320                
un                            11             876            9636                
per                           12             875            10500               
le                            13             857            11141               
una                           14             716            10024               
è                             15             708            10620               
nel                           16             653            10448               
si                            17             652            11084               
da                            18             579            10422               
on                            19             568            10792               
dei                           20             521            10420               
al                            21             448            9408                
gli                           22             429            9438                
delle                         23             420            9660                
non                           24             418            10032               
ome                           25             416            10400               
più                           26             412            10712               
alla                          27             387            10449               
tra                           28             353            9884                
sono                          29             324            9396                
o                             30             299            8970                
anhe                          31             296            9176                
dal                           32             276            8832                
nella                         33             266            8778                
fu                            34             253            8602                
degli                         35             247            8645                
ma                            36             230            8280                
su                            37             226            8362                
ad                            38             203            7714                
dna                           39             201            7839                
ha                            40             190            7600                
dalla                         41             187            7667                
furono                        42             185            7770                
parte                         43             185            7955                
ui                            44             181            7964                
loro                          45             174            7830                
ai                            46             167            7682                
anni                          47             167            7849                
artifiiale                    48             161            7728                
tedeshi                       49             160            7840                
guerra                        50             157            7850                
lo                            51             156            7956                
demorazia                     52             154            8008                
essere                        53             153            8109                
dopo                          54             151            8154                
sistema                       55             150            8250                
mentre                        56             148            8288                
stato                         57             136            7752                
questo                        58             136            7888                
nei                           59             129            7611                
solo                          60             129            7740                
forze                         61             127            7747                
due                           62             126            7812                
alle                          63             125            7875                
sul                           64             124            7936                
sua                           65             123            7995                
prima                         66             121            7986                
sulla                         67             119            7973                
dai                           68             115            7820                
sia                           69             114            7866                
nelle                         70             111            7770                
stati                         71             111            7881                
altri                         72             110            7920                
grande                        73             109            7957                
ed                            74             104            7696                
era                           75             104            7800                
mandela                       76             101            7676                
suo                           77             99             7623                
molto                         78             98             7644                
questa                        79             97             7663                
dalle                         80             97             7760                
può                           81             95             7695                
solare                        82             95             7790                
quindi                        83             94             7802                
se                            84             94             7896                
ira                           85             93             7905                
hanno                         86             92             7912                
seondo                        87             89             7743                
statunitensi                  88             89             7832                
erano                         89             88             7832                
ontro                         90             88             7920                
grado                         91             88             8008                
ogni                          92             87             8004                
fine                          93             86             7998                
en                            94             84             7896                
aluni                         95             81             7695                
isbn                          96             81             7776                
fino                          97             81             7857                
risaldamento                  98             81             7938                
sistemi                       99             79             7821                
alleati                       100            79             7900                
battaglia                     101            79             7979                
generale                      102            78             7956                
partiolare                    103            78             8034                
governo                       104            77             8008                
questi                        105            77             8085                
giapponesi                    106            77             8162                
esempio                       107            76             8132                
quello                        108            76             8208                
uno                           109            76             8284                
quanto                        110            74             8140                
vita                          111            73             8103                
agli                          112            73             8176                
verso                         113            73             8249                
speie                         114            73             8322                
sovietii                      115            73             8395                
pianeti                       116            73             8468                
attraverso                    117            72             8424                
tutti                         118            71             8378                
globale                       119            71             8449                
truppe                        120            71             8520                
milioni                       121            70             8470                
quando                        122            69             8418                
basi                          123            69             8487                
settembre                     124            69             8556                
sole                          125            69             8625                
rispetto                      126            68             8568                
invee                         127            68             8636                
gruppo                        128            68             8704                
impressionisti                129            68             8772                
tale                          130            67             8710                
negli                         131            67             8777                
primo                         132            67             8844                
fronte                        133            67             8911                
base                          134            66             8844                
luglio                        135            66             8910                
dove                          136            64             8704                
quale                         137            64             8768                
partire                       138            63             8694                
tuttavia                      139            63             8757                
anora                         140            63             8820                
oltre                         141            63             8883                
co                            142            63             8946                
giugno                        143            62             8866                
germania                      144            61             8784                
quella                        145            60             8700                
intelligenza                  146            60             8760                
modo                          147            59             8673                
de                            148            59             8732                
tedeshe                       149            59             8791                
reparti                       150            59             8850                
allinterno                    151            58             8758                
stesso                        152            58             8816                
durante                       153            57             8721                
via                           154            57             8778                
queste                        155            57             8835                
ontiene                       156            57             8892                
aprile                        157            57             8949                
forma                         158            56             8848                
orso                          159            56             8904                
dello                         160            56             8960                
possono                       161            56             9016                
quali                         162            56             9072                
britannii                     163            56             9128                
tre                           164            55             9020                
febbraio                      165            55             9075                
primi                         166            54             8964                
storia                        167            54             9018                
sviluppo                      168            54             9072                
maggio                        169            53             8957                
infatti                       170            52             8840                
dagli                         171            52             8892                
suoi                          172            52             8944                
dati                          173            52             8996                
diversi                       174            52             9048                
filamento                     175            52             9100                
serra                         176            52             9152                
sovietia                      177            52             9204                
mondo                         178            51             9078                
nuova                         179            51             9129                
frania                        180            51             9180                
uniti                         181            51             9231                
oggetti                       182            51             9282                
tutte                         183            50             9150                
poi                           184            50             9200                
già                           185            50             9250                
sempre                        186            50             9300                
tutto                         187            50             9350                
diembre                       188            50             9400                
pianeta                       189            50             9450                
volta                         190            49             9310                
diritti                       191            49             9359                
senza                         192            49             9408                
regione                       193            49             9457                
osì                           194            49             9506                
sulle                         195            49             9555                
temperatura                   196            49             9604                
fatto                         197            48             9456                
aveva                         198            48             9504                
portò                         199            48             9552                
the                           200            48             9600                
periodo                       201            48             9648                
teoria                        202            47             9494                
seolo                         203            47             9541                
ittà                          204            47             9588                
resistenza                    205            47             9635                
mostra                        206            47             9682                
tedeso                        207            47             9729                
viene                         208            46             9568                
libertà                       209            46             9614                
altre                         210            46             9660                
serie                         211            46             9706                
diverse                       212            45             9540                
seonda                        213            45             9585                
venne                         214            45             9630                
terra                         215            45             9675                
monet                         216            45             9720                
tedesa                        217            45             9765                
gas                           218            45             9810                
quasi                         219            44             9636                
tramite                       220            44             9680                
italiana                      221            44             9724                
molti                         222            44             9768                
inoltre                       223            44             9812                
marzo                         224            44             9856                
artisti                       225            44             9900                
giappone                      226            43             9718                
aso                           227            43             9761                
of                            228            43             9804                
nuovo                         229            43             9847                
orientale                     230            43             9890                
riera                         231            42             9702                
proesso                       232            42             9744                
avevano                       233            42             9786                
fa                            234            42             9828                
britannia                     235            42             9870                
ausa                          236            42             9912                
lungo                         237            42             9954                
entro                         238            42             9996                
livello                       239            42             10038               
tempo                         240            42             10080               
perdite                       241            42             10122               
fasia                         242            42             10164               
evoluzione                    243            41             9963                
alune                         244            41             10004               
nord                          245            41             10045               
maggior                       246            41             10086               
nelson                        247            41             10127               
persone                       248            40             9920                
tipo                          249            40             9960                
massa                         250            40             10000               
maggiore                      251            40             10040               
dellintelligenza              252            40             10080               
vi                            253            39             9867                
termine                       254            39             9906                
nello                         255            39             9945                
punto                         256            39             9984                
l                             257            39             10023               
lue                           258            39             10062               
agosto                        259            39             10101               
sontri                        260            39             10140               
sue                           261            38             9918                
popolazione                   262            38             9956                
fra                           263            38             9994                
grandi                        264            38             10032               
grazie                        265            38             10070               
quelle                        266            38             10108               
struttura                     267            38             10146               
momento                       268            38             10184               
movimento                     269            38             10222               
ampagna                       270            38             10260               
proprio                       271            37             10027               
possibile                     272            37             10064               
sotto                         273            37             10101               
mondiale                      274            37             10138               
unità                         275            37             10175               
gruppi                        276            37             10212               
fossili                       277            37             10249               
emissioni                     278            37             10286               
ne                            279            36             10044               
però                          280            36             10080               
oidentale                     281            36             10116               
allo                          282            36             10152               
spesso                        283            36             10188               
ruolo                         284            36             10224               
opere                         285            36             10260               
prinipale                     286            36             10296               
paesi                         287            36             10332               
novembre                      288            36             10368               
ottobre                       289            36             10404               
hitler                        290            36             10440               
rossa                         291            36             10476               
prigionieri                   292            36             10512               
ben                           293            35             10255               
stata                         294            35             10290               
perhé                         295            35             10325               
gran                          296            35             10360               
milano                        297            35             10395               
sequenza                      298            35             10430               
sequenze                      299            35             10465               
tali                          300            35             10500               
nonostante                    301            35             10535               
sovietihe                     302            35             10570               
soldati                       303            35             10605               
ovvero                        304            34             10336               
onetto                        305            34             10370               
politia                       306            34             10404               
ivili                         307            34             10438               
levoluzione                   308            34             10472               
infine                        309            34             10506               
effetti                       310            34             10540               
gennaio                       311            34             10574               
uomini                        312            33             10296               
poihé                         313            33             10329               
modello                       314            33             10362               
meno                          315            33             10395               
iò                            316            33             10428               
migliaia                      317            33             10461               
volte                         318            33             10494               
prinipali                     319            33             10527               
azioni                        320            33             10560               
suesso                        321            33             10593               
ultimi                        322            32             10304               
prime                         323            32             10336               
and                           324            32             10368               
proteine                      325            32             10400               
organismi                     326            32             10432               
morti                         327            32             10464               
aumento                       328            32             10496               
parigi                        329            32             10528               
degas                         330            32             10560               
asteroidi                     331            32             10592               
quattro                       332            31             10292               
c                             333            31             10323               
stessa                        334            31             10354               
nuovi                         335            31             10385               
orpi                          336            31             10416               
apaità                        337            31             10447               
rna                           338            31             10478               
quantità                      339            31             10509               
attività                      340            31             10540               
aerei                         341            31             10571               
operazioni                    342            31             10602               
ua                            343            31             10633               
«                             344            30             10320               
»                             345            30             10350               
moderna                       346            30             10380               
presenti                      347            30             10410               
seguito                       348            30             10440               
italiani                      349            30             10470               
presente                      350            30             10500               
aver                          351            30             10530               
ampo                          352            30             10560               
metà                          353            30             10590               
lintelligenza                 354            30             10620               
fiume                         355            30             10650               
giorni                        356            30             10680               
giapponese                    357            30             10710               
atmosfera                     358            30             10740               
operazione                    359            30             10770               
limatio                       360            30             10800               
politii                       361            29             10469               
nome                          362            29             10498               
studi                         363            29             10527               
naturale                      364            29             10556               
senso                         365            29             10585               
ambiamenti                    366            29             10614               
viventi                       367            29             10643               
vista                         368            29             10672               
genetia                       369            29             10701               
numero                        370            29             10730               
media                         371            29             10759               
homo                          372            29             10788               
manet                         373            29             10817               
renoir                        374            29             10846               
franesi                       375            29             10875               
potere                        376            28             10528               
ebbe                          377            28             10556               
insieme                       378            28             10584               
repliazione                   379            28             10612               
sientifia                     380            28             10640               
lunga                         381            28             10668               
polimerasi                    382            28             10696               
naturali                      383            28             10724               
rishio                        384            28             10752               
dellevoluzione                385            28             10780               
importante                    386            28             10808               
selezione                     387            28             10836               
prinipalmente                 388            28             10864               
sud                           389            28             10892               
subito                        390            28             10920               
satelliti                     391            28             10948               
loperazione                   392            28             10976               
omune                         393            27             10611               
europa                        394            27             10638               
quelli                        395            27             10665               
almeno                        396            27             10692               
url                           397            27             10719               
onsultato                     398            27             10746               
spazio                        399            27             10773               
umano                         400            27             10800               
zona                          401            27             10827               
canyon                        402            27             10854               
pittori                       403            27             10881               
settore                       404            27             10908               
bombardamenti                 405            27             10935               
flotta                        406            27             10962               
orazzate                      407            27             10989               
state                         408            26             10608               
altro                         409            26             10634               
franese                       410            26             10660               
presenza                      411            26             10686               
forza                         412            26             10712               
fosse                         413            26             10738               
oggi                          414            26             10764               
ondizioni                     415            26             10790               
soprattutto                   416            26             10816               
paese                         417            26             10842               
sui                           418            26             10868               
direzione                     419            26             10894               
regioni                       420            26             10920               
numerosi                      421            26             10946               
mano                          422            26             10972               
algoritmi                     423            26             10998               
popolazioni                   424            26             11024               
lotta                         425            26             11050               
presidente                    426            26             11076               
impressionista                427            26             11102               
polonia                       428            26             11128               
portaerei                     429            26             11154               
popolo                        430            25             10750               
forme                         431            25             10775               
pensiero                      432            25             10800               
roma                          433            25             10825               
politihe                      434            25             10850               
soiale                        435            25             10875               
aratteristihe                 436            25             10900               
italia                        437            25             10925               
essa                          438            25             10950               
nuove                         439            25             10975               
esseri                        440            25             11000               
onentrazione                  441            25             11025               
linea                         442            25             11050               
modelli                       443            25             11075               
terrestri                     444            25             11100               
mesi                          445            25             11125               
laumento                      446            25             11150               
dellasse                      447            25             11175               
arri                          448            25             11200               
armati                        449            25             11225               
kuiper                        450            25             11250               
stoiismo                      451            25             11275               
ittadini                      452            24             10848               
sarebbe                       453            24             10872               
lavoro                        454            24             10896               
dunque                        455            24             10920               
definito                      456            24             10944               
mosa                          457            24             10968               
onflitto                      458            24             10992               
diffioltà                     459            24             11016               
siano                         460            24             11040               
potrebbe                      461            24             11064               
vari                          462            24             11088               
for                           463            24             11112               
trasrizione                   464            24             11136               
ampi                          465            24             11160               
effetto                       466            24             11184               
darwin                        467            24             11208               
orpo                          468            24             11232               
grand                         469            24             11256               
salon                         470            24             11280               
mostre                        471            24             11304               
programma                     472            24             11328               
europea                       473            24             11352               
oeani                         474            24             11376               
giove                         475            24             11400               
benhé                         476            23             10948               
omunità                       477            23             10971               
situazione                    478            23             10994               
ordine                        479            23             11017               
esse                          480            23             11040               
prinipi                       481            23             11063               
formazione                    482            23             11086               
enilopedia                    483            23             11109               
genetio                       484            23             11132               
filamenti                     485            23             11155               
esso                          486            23             11178               
mutazioni                     487            23             11201               
onosenza                      488            23             11224               
mare                          489            23             11247               
statunitense                  490            23             11270               
rapporto                      491            23             11293               
intelligene                   492            23             11316               
paifio                        493            23             11339               
stalin                        494            23             11362               
lavanzata                     495            23             11385               
jugoslavia                    496            23             11408               
nettuno                       497            23             11431               
vengono                       498            22             10956               
maggioranza                   499            22             10978               
diritto                       500            22             11000               
nazioni                       501            22             11022               
fin                           502            22             11044               
poo                           503            22             11066               
regno                         504            22             11088               
allora                        505            22             11110               
pur                           506            22             11132               
fenomeno                      507            22             11154               
morte                         508            22             11176               
presso                        509            22             11198               
posizione                     510            22             11220               
asi                           511            22             11242               
natura                        512            22             11264               
miliardi                      513            22             11286               
guida                         514            22             11308               
territori                     515            22             11330               
varie                         516            22             11352               
studio                        517            22             11374               
difesa                        518            22             11396               
nazionale                     519            22             11418               
mahina                        520            22             11440               
piano                         521            22             11462               
nellatmosfera                 522            22             11484               
